time,Mach_number,energy_height,Time (s),Mic,Eh (ft),Ps int,Ps (ft/s)
0,0.337308719,12134.42822,0,0.334,12145,77,77
3.88,0.355738433,12447.78362,5,0.36,12530,79,78
7.52,0.373774059,12709.51239,10,0.3875,12920,81,80
10.86,0.391738646,12975.59988,15,0.412,13330,84,82.5
14.28,0.409686678,13254.87706,20,0.437,13750,84,84
17.8,0.427624342,13548.17291,25,0.463,14170,86,85
21.34,0.445492942,13847.23888,30,0.487,14600,83,84.5
24.92,0.463330267,14157.68628,35,0.51,15025,84,83.5
28.72,0.481151675,14481.58095,37,0.518,15183,79.52380952,81.76190476
32.76,0.498939813,14816.57879,39.1,0.525,15325,79.52380952,79.52380952
36.94,0.516670716,15159.69468,,,,,
39.1,0.525549937,15338.75786,,,,,